algorithm_name,suite,function_id,run_id,seed,maxFEs,used_FEs,fe_control_mode,status,error_message
BBO_BASE,cec2017,1,1,20260314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V1,cec2017,1,1,20261314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V2,cec2017,1,1,20262314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V3,cec2017,1,1,20263314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
SBO,cec2017,1,1,20264314,3000,3000,exact_fes_parameter,completed,""
MGO,cec2017,1,1,20265314,3000,3000,exact_fes_parameter,completed,""
PLO,cec2017,1,1,20266314,3000,3000,exact_fes_parameter_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
BBO_BASE,cec2017,2,1,20360314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V1,cec2017,2,1,20361314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V2,cec2017,2,1,20362314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
BBO_IMPROVED_V3,cec2017,2,1,20363314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
SBO,cec2017,2,1,20364314,3000,3000,exact_fes_parameter,completed,""
MGO,cec2017,2,1,20365314,3000,3000,exact_fes_parameter,completed,""
PLO,cec2017,2,1,20366314,3000,3000,exact_fes_parameter_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
BBO_BASE,cec2017,3,1,20460314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V1,cec2017,3,1,20461314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
BBO_IMPROVED_V2,cec2017,3,1,20462314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
BBO_IMPROVED_V3,cec2017,3,1,20463314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
SBO,cec2017,3,1,20464314,3000,3000,exact_fes_parameter,completed,""
MGO,cec2017,3,1,20465314,3000,3000,exact_fes_parameter,completed,""
PLO,cec2017,3,1,20466314,3000,3000,exact_fes_parameter_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
